Date,Temperature,Weather Description,Humidity,Barometer,WindDirection,WindSpeed
"Monday, 1 May 2017, 00:00 — 06:00",29 / 27 °C,Passing clouds.,Humidity: 87%,Barometer: 1010 mbar,SE,Wind: 6 km/h
"Monday, 1 May 2017, 06:00 — 12:00",34 / 27 °C,Scattered clouds.,Humidity: 67%,Barometer: 1011 mbar,SE,Wind: 10 km/h
"Monday, 1 May 2017, 12:00 — 18:00",35 / 32 °C,Scattered clouds.,Humidity: 51%,Barometer: 1008 mbar,SSE,Wind: 10 km/h
"Monday, 1 May 2017, 18:00 — 00:00",31 / 30 °C,Passing clouds.,Humidity: 70%,Barometer: 1010 mbar,S,Wind: 11 km/h
"Tuesday, 2 May 2017, 00:00 — 06:00",30 / 29 °C,Passing clouds.,Humidity: 80%,Barometer: 1010 mbar,S,Wind: 10 km/h
"Tuesday, 2 May 2017, 06:00 — 12:00",34 / 29 °C,Partly sunny.,Humidity: 68%,Barometer: 1011 mbar,N,Wind: 5 km/h
"Tuesday, 2 May 2017, 12:00 — 18:00",35 / 26 °C,Partly sunny.,Humidity: 70%,Barometer: 1008 mbar,N,Wind: 8 km/h
"Tuesday, 2 May 2017, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 88%,Barometer: 1010 mbar,N,Wind: 5 km/h
"Wednesday, 3 May 2017, 00:00 — 06:00",29 / 28 °C,Passing clouds.,Humidity: 86%,Barometer: 1010 mbar,SW,Wind: 9 km/h
"Wednesday, 3 May 2017, 06:00 — 12:00",33 / 28 °C,Scattered clouds.,Humidity: 73%,Barometer: 1011 mbar,SW,Wind: 7 km/h
"Wednesday, 3 May 2017, 12:00 — 18:00",34 / 31 °C,Scattered clouds.,Humidity: 64%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Wednesday, 3 May 2017, 18:00 — 00:00",32 / 30 °C,Passing clouds.,Humidity: 70%,Barometer: 1009 mbar,S,Wind: 9 km/h
"Thursday, 4 May 2017, 00:00 — 06:00",31 / 26 °C,Thunderstorms. Passing clouds.,Humidity: 88%,Barometer: 1009 mbar,S,Wind: 8 km/h
"Thursday, 4 May 2017, 06:00 — 12:00",34 / 27 °C,Scattered clouds.,Humidity: 68%,Barometer: 1010 mbar,N,Wind: 5 km/h
"Thursday, 4 May 2017, 12:00 — 18:00",35 / 30 °C,Scattered clouds.,Humidity: 61%,Barometer: 1007 mbar,S,Wind: 11 km/h
"Thursday, 4 May 2017, 18:00 — 00:00",30 / 28 °C,Passing clouds.,Humidity: 79%,Barometer: 1010 mbar,N,Wind: 6 km/h
"Friday, 5 May 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 91%,Barometer: 1010 mbar,N,Wind: 5 km/h
"Friday, 5 May 2017, 06:00 — 12:00",33 / 26 °C,Scattered clouds.,Humidity: 81%,Barometer: 1012 mbar,N,Wind: 6 km/h
"Friday, 5 May 2017, 12:00 — 18:00",34 / 31 °C,Partly sunny.,Humidity: 60%,Barometer: 1009 mbar,N,Wind: 8 km/h
"Friday, 5 May 2017, 18:00 — 00:00",31 / 26 °C,Passing clouds.,Humidity: 82%,Barometer: 1012 mbar,N,Wind: 8 km/h
"Saturday, 6 May 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 90%,Barometer: 1012 mbar,N,Wind: 6 km/h
"Saturday, 6 May 2017, 06:00 — 12:00",34 / 26 °C,Scattered clouds.,Humidity: 72%,Barometer: 1012 mbar,N,Wind: 5 km/h
"Saturday, 6 May 2017, 12:00 — 18:00",34 / 27 °C,Scattered clouds.,Humidity: 73%,Barometer: 1010 mbar,SSE,Wind: 9 km/h
"Saturday, 6 May 2017, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 89%,Barometer: 1012 mbar,SSE,Wind: 8 km/h
"Sunday, 7 May 2017, 00:00 — 06:00",27 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1011 mbar,N,Wind: 4 km/h
"Sunday, 7 May 2017, 06:00 — 12:00",30 / 25 °C,Scattered clouds.,Humidity: 84%,Barometer: 1013 mbar,N,Wind: 8 km/h
"Sunday, 7 May 2017, 12:00 — 18:00",30 / 25 °C,Broken clouds.,Humidity: 78%,Barometer: 1010 mbar,N,Wind: 6 km/h
"Sunday, 7 May 2017, 18:00 — 00:00",26 / 25 °C,Passing clouds.,Humidity: 91%,Barometer: 1011 mbar,N,Wind: 4 km/h
"Monday, 8 May 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 90%,Barometer: 1010 mbar,N,Wind: 2 km/h
"Monday, 8 May 2017, 06:00 — 12:00",33 / 26 °C,Fog.,Humidity: 76%,Barometer: 1011 mbar,N,Wind: 7 km/h
"Monday, 8 May 2017, 12:00 — 18:00",34 / 27 °C,Scattered clouds.,Humidity: 58%,Barometer: 1007 mbar,SSE,Wind: 14 km/h
"Monday, 8 May 2017, 18:00 — 00:00",28 / 26 °C,Light rain. Passing clouds.,Humidity: 90%,Barometer: 1009 mbar,NNE,Wind: 6 km/h
"Tuesday, 9 May 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 5 km/h
"Tuesday, 9 May 2017, 06:00 — 12:00",33 / 26 °C,Scattered clouds.,Humidity: 78%,Barometer: 1009 mbar,E,Wind: 10 km/h
"Tuesday, 9 May 2017, 12:00 — 18:00",34 / 29 °C,Partly sunny.,Humidity: 74%,Barometer: 1007 mbar,S,Wind: 14 km/h
