Date,Temperature,Weather Description,Humidity,Barometer,WindDirection,WindSpeed
"Thursday, 1 September 2022, 00:00 — 06:00",27 / 25 °C,Passing clouds.,Humidity: 95%,Barometer: 1008 mbar,N,Wind: 2 km/h
"Thursday, 1 September 2022, 06:00 — 12:00",34 / 26 °C,Partly sunny.,Humidity: 71%,Barometer: 1009 mbar,N,Wind: 3 km/h
"Thursday, 1 September 2022, 12:00 — 18:00",34 / 29 °C,Partly sunny.,Humidity: 61%,Barometer: 1006 mbar,N,Wind: 6 km/h
"Thursday, 1 September 2022, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 83%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Friday, 2 September 2022, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 85%,Barometer: 1008 mbar,N,Wind: 4 km/h
"Friday, 2 September 2022, 06:00 — 12:00",33 / 28 °C,Partly sunny.,Humidity: 76%,Barometer: 1009 mbar,N,Wind: 7 km/h
"Friday, 2 September 2022, 12:00 — 18:00",33 / 26 °C,Scattered clouds.,Humidity: 81%,Barometer: 1006 mbar,N,Wind: 10 km/h
"Friday, 2 September 2022, 18:00 — 00:00",26 / 24 °C,Passing clouds.,Humidity: 94%,Barometer: 1010 mbar,N,Wind: 8 km/h
"Saturday, 3 September 2022, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 94%,Barometer: 1008 mbar,N,Wind: 4 km/h
"Saturday, 3 September 2022, 06:00 — 12:00",32 / 25 °C,Scattered clouds.,Humidity: 78%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Saturday, 3 September 2022, 12:00 — 18:00",34 / 28 °C,Partly sunny.,Humidity: 67%,Barometer: 1006 mbar,W,Wind: 16 km/h
"Saturday, 3 September 2022, 18:00 — 00:00",28 / 27 °C,Passing clouds.,Humidity: 82%,Barometer: 1009 mbar,SSW,Wind: 11 km/h
"Sunday, 4 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 93%,Barometer: 1008 mbar,W,Wind: 4 km/h
"Sunday, 4 September 2022, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 75%,Barometer: 1009 mbar,W,Wind: 13 km/h
"Sunday, 4 September 2022, 12:00 — 18:00",32 / 27 °C,Scattered clouds.,Humidity: 74%,Barometer: 1007 mbar,W,Wind: 20 km/h
"Sunday, 4 September 2022, 18:00 — 00:00",28 / 25 °C,Passing clouds.,Humidity: 89%,Barometer: 1010 mbar,WSW,Wind: 16 km/h
"Monday, 5 September 2022, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 94%,Barometer: 1009 mbar,N,Wind: 5 km/h
"Monday, 5 September 2022, 06:00 — 12:00",32 / 25 °C,Scattered clouds.,Humidity: 79%,Barometer: 1010 mbar,WNW,Wind: 12 km/h
"Monday, 5 September 2022, 12:00 — 18:00",33 / 29 °C,Partly sunny.,Humidity: 67%,Barometer: 1007 mbar,WNW,Wind: 16 km/h
"Monday, 5 September 2022, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 88%,Barometer: 1009 mbar,SW,Wind: 10 km/h
"Tuesday, 6 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,WSW,Wind: 9 km/h
"Tuesday, 6 September 2022, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 79%,Barometer: 1009 mbar,W,Wind: 9 km/h
"Tuesday, 6 September 2022, 12:00 — 18:00",32 / 26 °C,Scattered clouds.,Humidity: 74%,Barometer: 1007 mbar,WNW,Wind: 14 km/h
"Tuesday, 6 September 2022, 18:00 — 00:00",26 / 25 °C,Light rain. Partly cloudy.,Humidity: 94%,Barometer: 1010 mbar,WSW,Wind: 11 km/h
"Wednesday, 7 September 2022, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 95%,Barometer: 1008 mbar,N,Wind: 2 km/h
"Wednesday, 7 September 2022, 06:00 — 12:00",29 / 25 °C,Broken clouds.,Humidity: 88%,Barometer: 1010 mbar,N,Wind: 5 km/h
"Wednesday, 7 September 2022, 12:00 — 18:00",27 / 25 °C,Broken clouds.,Humidity: 88%,Barometer: 1008 mbar,W,Wind: 18 km/h
"Wednesday, 7 September 2022, 18:00 — 00:00",26 / 25 °C,Passing clouds.,Humidity: 90%,Barometer: 1010 mbar,WSW,Wind: 10 km/h
"Thursday, 8 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 90%,Barometer: 1010 mbar,SW,Wind: 9 km/h
"Thursday, 8 September 2022, 06:00 — 12:00",30 / 25 °C,Partly sunny.,Humidity: 78%,Barometer: 1012 mbar,WSW,Wind: 19 km/h
"Thursday, 8 September 2022, 12:00 — 18:00",31 / 27 °C,Scattered clouds.,Humidity: 70%,Barometer: 1009 mbar,WSW,Wind: 18 km/h
"Thursday, 8 September 2022, 18:00 — 00:00",28 / 26 °C,Passing clouds.,Humidity: 83%,Barometer: 1011 mbar,WSW,Wind: 10 km/h
"Friday, 9 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1010 mbar,N,Wind: 5 km/h
"Friday, 9 September 2022, 06:00 — 12:00",32 / 25 °C,Partly sunny.,Humidity: 75%,Barometer: 1011 mbar,WNW,Wind: 9 km/h
"Friday, 9 September 2022, 12:00 — 18:00",34 / 31 °C,Partly sunny.,Humidity: 62%,Barometer: 1008 mbar,N,Wind: 8 km/h
"Friday, 9 September 2022, 18:00 — 00:00",32 / 27 °C,Passing clouds.,Humidity: 79%,Barometer: 1010 mbar,S,Wind: 10 km/h
"Saturday, 10 September 2022, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 95%,Barometer: 1010 mbar,N,Wind: 5 km/h
