Date,Temperature,Weather Description,Humidity,Barometer,WindDirection,WindSpeed
"Saturday, 10 September 2022, 06:00 — 12:00",33 / 26 °C,Partly sunny.,Humidity: 72%,Barometer: 1011 mbar,N,Wind: 6 km/h
"Saturday, 10 September 2022, 12:00 — 18:00",34 / 30 °C,Scattered clouds.,Humidity: 64%,Barometer: 1007 mbar,SSE,Wind: 13 km/h
"Saturday, 10 September 2022, 18:00 — 00:00",30 / 25 °C,Passing clouds.,Humidity: 81%,Barometer: 1011 mbar,SSE,Wind: 11 km/h
"Sunday, 11 September 2022, 00:00 — 06:00",26 / 25 °C,Light rain. Partly cloudy.,Humidity: 96%,Barometer: 1009 mbar,N,Wind: 4 km/h
"Sunday, 11 September 2022, 06:00 — 12:00",32 / 25 °C,Scattered clouds.,Humidity: 76%,Barometer: 1010 mbar,N,Wind: 6 km/h
"Sunday, 11 September 2022, 12:00 — 18:00",34 / 27 °C,Scattered clouds.,Humidity: 71%,Barometer: 1007 mbar,N,Wind: 8 km/h
"Sunday, 11 September 2022, 18:00 — 00:00",29 / 26 °C,Passing clouds.,Humidity: 83%,Barometer: 1009 mbar,SSE,Wind: 10 km/h
"Monday, 12 September 2022, 00:00 — 06:00",27 / 25 °C,Partly cloudy.,Humidity: 93%,Barometer: 1009 mbar,N,Wind: 4 km/h
"Monday, 12 September 2022, 06:00 — 12:00",33 / 25 °C,Partly sunny.,Humidity: 76%,Barometer: 1010 mbar,N,Wind: 6 km/h
"Monday, 12 September 2022, 12:00 — 18:00",33 / 26 °C,Sprinkles. Broken clouds.,Humidity: 79%,Barometer: 1007 mbar,N,Wind: 8 km/h
"Monday, 12 September 2022, 18:00 — 00:00",26 / 25 °C,Partly cloudy.,Humidity: 94%,Barometer: 1009 mbar,N,Wind: 7 km/h
"Tuesday, 13 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 95%,Barometer: 1009 mbar,N,Wind: 2 km/h
"Tuesday, 13 September 2022, 06:00 — 12:00",32 / 25 °C,Scattered clouds.,Humidity: 81%,Barometer: 1011 mbar,N,Wind: 5 km/h
"Tuesday, 13 September 2022, 12:00 — 18:00",33 / 30 °C,Scattered clouds.,Humidity: 67%,Barometer: 1008 mbar,SSE,Wind: 10 km/h
"Tuesday, 13 September 2022, 18:00 — 00:00",30 / 26 °C,Passing clouds.,Humidity: 85%,Barometer: 1010 mbar,WSW,Wind: 12 km/h
"Wednesday, 14 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1010 mbar,SW,Wind: 6 km/h
"Wednesday, 14 September 2022, 06:00 — 12:00",33 / 27 °C,Scattered clouds.,Humidity: 72%,Barometer: 1011 mbar,W,Wind: 14 km/h
"Wednesday, 14 September 2022, 12:00 — 18:00",31 / 25 °C,Scattered clouds.,Humidity: 77%,Barometer: 1009 mbar,W,Wind: 19 km/h
"Wednesday, 14 September 2022, 18:00 — 00:00",27 / 26 °C,Passing clouds.,Humidity: 85%,Barometer: 1011 mbar,SW,Wind: 16 km/h
"Thursday, 15 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 91%,Barometer: 1011 mbar,WSW,Wind: 9 km/h
"Thursday, 15 September 2022, 06:00 — 12:00",32 / 25 °C,Scattered clouds.,Humidity: 77%,Barometer: 1011 mbar,W,Wind: 21 km/h
"Thursday, 15 September 2022, 12:00 — 18:00",32 / 29 °C,Scattered clouds.,Humidity: 69%,Barometer: 1008 mbar,W,Wind: 23 km/h
"Thursday, 15 September 2022, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 77%,Barometer: 1009 mbar,WSW,Wind: 11 km/h
"Friday, 16 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 91%,Barometer: 1008 mbar,W,Wind: 7 km/h
"Friday, 16 September 2022, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 77%,Barometer: 1009 mbar,W,Wind: 15 km/h
"Friday, 16 September 2022, 12:00 — 18:00",32 / 25 °C,Broken clouds.,Humidity: 74%,Barometer: 1006 mbar,WSW,Wind: 17 km/h
"Friday, 16 September 2022, 18:00 — 00:00",27 / 25 °C,Passing clouds.,Humidity: 90%,Barometer: 1008 mbar,N,Wind: 8 km/h
"Saturday, 17 September 2022, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 4 km/h
"Saturday, 17 September 2022, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 79%,Barometer: 1009 mbar,W,Wind: 14 km/h
"Saturday, 17 September 2022, 12:00 — 18:00",33 / 27 °C,Scattered clouds.,Humidity: 72%,Barometer: 1006 mbar,W,Wind: 16 km/h
"Saturday, 17 September 2022, 18:00 — 00:00",28 / 27 °C,Passing clouds.,Humidity: 86%,Barometer: 1009 mbar,WSW,Wind: 7 km/h
"Sunday, 18 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 93%,Barometer: 1008 mbar,W,Wind: 6 km/h
"Sunday, 18 September 2022, 06:00 — 12:00",32 / 26 °C,Scattered clouds.,Humidity: 75%,Barometer: 1010 mbar,W,Wind: 12 km/h
"Sunday, 18 September 2022, 12:00 — 18:00",32 / 26 °C,Scattered clouds.,Humidity: 70%,Barometer: 1007 mbar,W,Wind: 15 km/h
"Sunday, 18 September 2022, 18:00 — 00:00",28 / 26 °C,Passing clouds.,Humidity: 88%,Barometer: 1010 mbar,N,Wind: 6 km/h
"Monday, 19 September 2022, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 96%,Barometer: 1009 mbar,N,Wind: 1 km/h
"Monday, 19 September 2022, 06:00 — 12:00",32 / 25 °C,Scattered clouds.,Humidity: 82%,Barometer: 1010 mbar,W,Wind: 10 km/h
"Monday, 19 September 2022, 12:00 — 18:00",33 / 29 °C,Scattered clouds.,Humidity: 72%,Barometer: 1007 mbar,N,Wind: 14 km/h
"Monday, 19 September 2022, 18:00 — 00:00",29 / 24 °C,Light rain. Partly cloudy.,Humidity: 95%,Barometer: 1009 mbar,WSW,Wind: 7 km/h
"Tuesday, 20 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 98%,Barometer: 1008 mbar,W,Wind: 5 km/h
"Tuesday, 20 September 2022, 06:00 — 12:00",31 / 25 °C,Scattered clouds.,Humidity: 79%,Barometer: 1009 mbar,W,Wind: 10 km/h
"Tuesday, 20 September 2022, 12:00 — 18:00",31 / 28 °C,Scattered clouds.,Humidity: 73%,Barometer: 1006 mbar,W,Wind: 17 km/h
"Tuesday, 20 September 2022, 18:00 — 00:00",29 / 25 °C,Passing clouds.,Humidity: 90%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Wednesday, 21 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 95%,Barometer: 1007 mbar,WSW,Wind: 7 km/h
"Wednesday, 21 September 2022, 06:00 — 12:00",31 / 26 °C,Partly sunny.,Humidity: 80%,Barometer: 1008 mbar,WSW,Wind: 10 km/h
"Wednesday, 21 September 2022, 12:00 — 18:00",34 / 29 °C,Scattered clouds.,Humidity: 67%,Barometer: 1005 mbar,W,Wind: 11 km/h
"Wednesday, 21 September 2022, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 84%,Barometer: 1007 mbar,SSW,Wind: 14 km/h
"Thursday, 22 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 90%,Barometer: 1007 mbar,SSW,Wind: 9 km/h
"Thursday, 22 September 2022, 06:00 — 12:00",32 / 27 °C,Partly sunny.,Humidity: 77%,Barometer: 1008 mbar,SW,Wind: 17 km/h
"Thursday, 22 September 2022, 12:00 — 18:00",32 / 26 °C,Scattered clouds.,Humidity: 82%,Barometer: 1007 mbar,WSW,Wind: 17 km/h
"Thursday, 22 September 2022, 18:00 — 00:00",28 / 27 °C,Passing clouds.,Humidity: 84%,Barometer: 1009 mbar,SSW,Wind: 8 km/h
"Friday, 23 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 88%,Barometer: 1008 mbar,SSW,Wind: 8 km/h
"Friday, 23 September 2022, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 77%,Barometer: 1009 mbar,WSW,Wind: 12 km/h
"Friday, 23 September 2022, 12:00 — 18:00",33 / 25 °C,Scattered clouds.,Humidity: 68%,Barometer: 1006 mbar,WNW,Wind: 13 km/h
"Friday, 23 September 2022, 18:00 — 00:00",26 / 25 °C,Light rain. Partly cloudy.,Humidity: 94%,Barometer: 1009 mbar,N,Wind: 4 km/h
"Saturday, 24 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 93%,Barometer: 1007 mbar,N,Wind: 4 km/h
"Saturday, 24 September 2022, 06:00 — 12:00",31 / 26 °C,Partly sunny.,Humidity: 82%,Barometer: 1009 mbar,W,Wind: 9 km/h
"Saturday, 24 September 2022, 12:00 — 18:00",32 / 26 °C,Scattered clouds.,Humidity: 75%,Barometer: 1006 mbar,WSW,Wind: 11 km/h
"Saturday, 24 September 2022, 18:00 — 00:00",28 / 26 °C,Passing clouds.,Humidity: 85%,Barometer: 1008 mbar,SSW,Wind: 7 km/h
"Sunday, 25 September 2022, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1007 mbar,SW,Wind: 7 km/h
"Sunday, 25 September 2022, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 76%,Barometer: 1009 mbar,W,Wind: 9 km/h
"Sunday, 25 September 2022, 12:00 — 18:00",31 / 25 °C,Scattered clouds.,Humidity: 83%,Barometer: 1007 mbar,WNW,Wind: 12 km/h
"Sunday, 25 September 2022, 18:00 — 00:00",26 / 24 °C,Light rain. Partly cloudy.,Humidity: 97%,Barometer: 1010 mbar,N,Wind: 7 km/h
"Monday, 26 September 2022, 00:00 — 06:00",25 / 24 °C,Passing clouds.,Humidity: 98%,Barometer: 1008 mbar,N,Wind: 3 km/h
"Monday, 26 September 2022, 06:00 — 12:00",31 / 24 °C,Partly sunny.,Humidity: 87%,Barometer: 1009 mbar,WNW,Wind: 6 km/h
"Monday, 26 September 2022, 12:00 — 18:00",32 / 24 °C,Broken clouds.,Humidity: 83%,Barometer: 1007 mbar,NW,Wind: 15 km/h
"Monday, 26 September 2022, 18:00 — 00:00",24 / 24 °C,Light rain. Partly cloudy.,Humidity: 95%,Barometer: 1009 mbar,N,Wind: 8 km/h
"Tuesday, 27 September 2022, 00:00 — 06:00",24 / 23 °C,Partly cloudy.,Humidity: 97%,Barometer: 1007 mbar,N,Wind: 4 km/h
"Tuesday, 27 September 2022, 06:00 — 12:00",30 / 23 °C,Partly sunny.,Humidity: 86%,Barometer: 1007 mbar,WNW,Wind: 12 km/h
"Tuesday, 27 September 2022, 12:00 — 18:00",30 / 24 °C,Broken clouds.,Humidity: 83%,Barometer: 1004 mbar,WNW,Wind: 18 km/h
"Tuesday, 27 September 2022, 18:00 — 00:00",26 / 25 °C,Partly cloudy.,Humidity: 94%,Barometer: 1005 mbar,W,Wind: 12 km/h
"Wednesday, 28 September 2022, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 100%,Barometer: 1003 mbar,WSW,Wind: 12 km/h
"Wednesday, 28 September 2022, 06:00 — 12:00",31 / 25 °C,Partly sunny.,Humidity: 79%,Barometer: 1003 mbar,W,Wind: 22 km/h
"Wednesday, 28 September 2022, 12:00 — 18:00",31 / 25 °C,Light rain. Broken clouds.,Humidity: 82%,Barometer: 1001 mbar,W,Wind: 31 km/h
"Wednesday, 28 September 2022, 18:00 — 00:00",26 / 25 °C,Partly cloudy.,Humidity: 96%,Barometer: 1004 mbar,WSW,Wind: 18 km/h
"Thursday, 29 September 2022, 00:00 — 06:00",25 / 24 °C,Light rain. Partly cloudy.,Humidity: 100%,Barometer: 1004 mbar,SW,Wind: 12 km/h
"Thursday, 29 September 2022, 06:00 — 12:00",27 / 25 °C,Partly sunny.,Humidity: 92%,Barometer: 1007 mbar,SSW,Wind: 15 km/h
"Thursday, 29 September 2022, 12:00 — 18:00",30 / 25 °C,Broken clouds.,Humidity: 82%,Barometer: 1005 mbar,SW,Wind: 18 km/h
"Thursday, 29 September 2022, 18:00 — 00:00",26 / 25 °C,Passing clouds.,Humidity: 96%,Barometer: 1008 mbar,WSW,Wind: 9 km/h
"Friday, 30 September 2022, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 96%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Friday, 30 September 2022, 06:00 — 12:00",31 / 26 °C,Scattered clouds.,Humidity: 84%,Barometer: 1009 mbar,WSW,Wind: 13 km/h
"Friday, 30 September 2022, 12:00 — 18:00",31 / 26 °C,Partly sunny.,Humidity: 81%,Barometer: 1007 mbar,W,Wind: 14 km/h
"Friday, 30 September 2022, 18:00 — 00:00",28 / 27 °C,Passing clouds.,Humidity: 88%,Barometer: 1009 mbar,W,Wind: 7 km/h
