Date,Temperature,Weather Description,Humidity,Barometer,WindDirection,WindSpeed
"Thursday, 1 February 2018, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 94%,Barometer: 1011 mbar,N,Wind: 6 km/h
"Thursday, 1 February 2018, 06:00 — 12:00",31 / 25 °C,Scattered clouds.,Humidity: 77%,Barometer: 1013 mbar,N,Wind: 6 km/h
"Thursday, 1 February 2018, 12:00 — 18:00",32 / 29 °C,Partly sunny.,Humidity: 65%,Barometer: 1009 mbar,N,Wind: 9 km/h
"Thursday, 1 February 2018, 18:00 — 00:00",29 / 26 °C,Passing clouds.,Humidity: 77%,Barometer: 1011 mbar,S,Wind: 9 km/h
"Friday, 2 February 2018, 00:00 — 06:00",26 / 24 °C,Passing clouds.,Humidity: 84%,Barometer: 1011 mbar,E,Wind: 8 km/h
"Friday, 2 February 2018, 06:00 — 12:00",30 / 23 °C,Scattered clouds.,Humidity: 79%,Barometer: 1014 mbar,N,Wind: 5 km/h
"Friday, 2 February 2018, 12:00 — 18:00",32 / 28 °C,Partly sunny.,Humidity: 65%,Barometer: 1011 mbar,N,Wind: 9 km/h
"Friday, 2 February 2018, 18:00 — 00:00",28 / 25 °C,Passing clouds.,Humidity: 74%,Barometer: 1012 mbar,S,Wind: 8 km/h
"Saturday, 3 February 2018, 00:00 — 06:00",26 / 23 °C,Passing clouds.,Humidity: 88%,Barometer: 1013 mbar,N,Wind: 6 km/h
"Saturday, 3 February 2018, 06:00 — 12:00",32 / 23 °C,Passing clouds.,Humidity: 74%,Barometer: 1014 mbar,N,Wind: 7 km/h
"Saturday, 3 February 2018, 12:00 — 18:00",33 / 27 °C,Scattered clouds.,Humidity: 56%,Barometer: 1010 mbar,N,Wind: 8 km/h
"Saturday, 3 February 2018, 18:00 — 00:00",27 / 25 °C,Passing clouds.,Humidity: 80%,Barometer: 1012 mbar,SSE,Wind: 9 km/h
"Sunday, 4 February 2018, 00:00 — 06:00",26 / 21 °C,Passing clouds.,Humidity: 86%,Barometer: 1013 mbar,N,Wind: 5 km/h
"Sunday, 4 February 2018, 06:00 — 12:00",29 / 22 °C,Passing clouds.,Humidity: 76%,Barometer: 1014 mbar,N,Wind: 7 km/h
"Sunday, 4 February 2018, 12:00 — 18:00",31 / 27 °C,Passing clouds.,Humidity: 60%,Barometer: 1011 mbar,N,Wind: 8 km/h
"Sunday, 4 February 2018, 18:00 — 00:00",27 / 23 °C,Passing clouds.,Humidity: 79%,Barometer: 1013 mbar,N,Wind: 8 km/h
"Monday, 5 February 2018, 00:00 — 06:00",23 / 20 °C,Passing clouds.,Humidity: 91%,Barometer: 1014 mbar,N,Wind: 5 km/h
"Monday, 5 February 2018, 06:00 — 12:00",30 / 20 °C,Passing clouds.,Humidity: 73%,Barometer: 1016 mbar,N,Wind: 6 km/h
"Monday, 5 February 2018, 12:00 — 18:00",31 / 29 °C,Scattered clouds.,Humidity: 46%,Barometer: 1013 mbar,N,Wind: 7 km/h
"Monday, 5 February 2018, 18:00 — 00:00",29 / 23 °C,Passing clouds.,Humidity: 69%,Barometer: 1014 mbar,N,Wind: 7 km/h
"Tuesday, 6 February 2018, 00:00 — 06:00",23 / 19 °C,Passing clouds.,Humidity: 79%,Barometer: 1014 mbar,N,Wind: 5 km/h
"Tuesday, 6 February 2018, 06:00 — 12:00",29 / 18 °C,Passing clouds.,Humidity: 70%,Barometer: 1016 mbar,N,Wind: 6 km/h
"Tuesday, 6 February 2018, 12:00 — 18:00",30 / 27 °C,Scattered clouds.,Humidity: 47%,Barometer: 1011 mbar,N,Wind: 7 km/h
"Tuesday, 6 February 2018, 18:00 — 00:00",27 / 22 °C,Passing clouds.,Humidity: 74%,Barometer: 1013 mbar,S,Wind: 9 km/h
