Date,Temperature,Weather Description,Humidity,Barometer,WindDirection,WindSpeed
"Thursday, 1 June 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 91%,Barometer: 1008 mbar,WSW,Wind: 5 km/h
"Thursday, 1 June 2017, 06:00 — 12:00",34 / 27 °C,Scattered clouds.,Humidity: 77%,Barometer: 1009 mbar,N,Wind: 5 km/h
"Thursday, 1 June 2017, 12:00 — 18:00",34 / 31 °C,Scattered clouds.,Humidity: 62%,Barometer: 1006 mbar,S,Wind: 12 km/h
"Thursday, 1 June 2017, 18:00 — 00:00",31 / 29 °C,Passing clouds.,Humidity: 88%,Barometer: 1007 mbar,SSE,Wind: 14 km/h
"Friday, 2 June 2017, 00:00 — 06:00",29 / 27 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,WSW,Wind: 12 km/h
"Friday, 2 June 2017, 06:00 — 12:00",32 / 28 °C,Scattered clouds.,Humidity: 83%,Barometer: 1009 mbar,WSW,Wind: 11 km/h
"Friday, 2 June 2017, 12:00 — 18:00",32 / 27 °C,Scattered clouds.,Humidity: 82%,Barometer: 1007 mbar,WSW,Wind: 14 km/h
"Friday, 2 June 2017, 18:00 — 00:00",28 / 26 °C,Passing clouds.,Humidity: 90%,Barometer: 1009 mbar,WSW,Wind: 10 km/h
"Saturday, 3 June 2017, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1009 mbar,N,Wind: 5 km/h
"Saturday, 3 June 2017, 06:00 — 12:00",33 / 27 °C,Scattered clouds.,Humidity: 81%,Barometer: 1010 mbar,W,Wind: 15 km/h
"Saturday, 3 June 2017, 12:00 — 18:00",34 / 29 °C,Scattered clouds.,Humidity: 67%,Barometer: 1007 mbar,W,Wind: 20 km/h
"Saturday, 3 June 2017, 18:00 — 00:00",29 / 26 °C,Light rain. Partly cloudy.,Humidity: 90%,Barometer: 1009 mbar,N,Wind: 8 km/h
"Sunday, 4 June 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 4 km/h
"Sunday, 4 June 2017, 06:00 — 12:00",33 / 28 °C,Partly sunny.,Humidity: 82%,Barometer: 1008 mbar,WSW,Wind: 15 km/h
"Sunday, 4 June 2017, 12:00 — 18:00",33 / 26 °C,Light rain. Broken clouds.,Humidity: 84%,Barometer: 1006 mbar,SW,Wind: 18 km/h
"Sunday, 4 June 2017, 18:00 — 00:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,SW,Wind: 10 km/h
"Monday, 5 June 2017, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 4 km/h
"Monday, 5 June 2017, 06:00 — 12:00",31 / 27 °C,Scattered clouds.,Humidity: 87%,Barometer: 1008 mbar,SW,Wind: 15 km/h
"Monday, 5 June 2017, 12:00 — 18:00",31 / 29 °C,Broken clouds.,Humidity: 81%,Barometer: 1006 mbar,WSW,Wind: 18 km/h
"Monday, 5 June 2017, 18:00 — 00:00",30 / 24 °C,Light rain. Partly cloudy.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 9 km/h
"Tuesday, 6 June 2017, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1007 mbar,SW,Wind: 4 km/h
"Tuesday, 6 June 2017, 06:00 — 12:00",32 / 27 °C,Partly sunny.,Humidity: 83%,Barometer: 1009 mbar,SW,Wind: 15 km/h
"Tuesday, 6 June 2017, 12:00 — 18:00",32 / 26 °C,Light rain. Broken clouds.,Humidity: 82%,Barometer: 1007 mbar,WSW,Wind: 17 km/h
"Tuesday, 6 June 2017, 18:00 — 00:00",27 / 26 °C,Light rain. Passing clouds.,Humidity: 91%,Barometer: 1010 mbar,SW,Wind: 9 km/h
"Wednesday, 7 June 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 91%,Barometer: 1009 mbar,W,Wind: 7 km/h
"Wednesday, 7 June 2017, 06:00 — 12:00",31 / 25 °C,Partly sunny.,Humidity: 80%,Barometer: 1010 mbar,WSW,Wind: 10 km/h
"Wednesday, 7 June 2017, 12:00 — 18:00",33 / 31 °C,Scattered clouds.,Humidity: 60%,Barometer: 1007 mbar,WSW,Wind: 13 km/h
"Wednesday, 7 June 2017, 18:00 — 00:00",31 / 27 °C,Passing clouds.,Humidity: 77%,Barometer: 1008 mbar,WSW,Wind: 10 km/h
"Thursday, 8 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 91%,Barometer: 1008 mbar,SSW,Wind: 7 km/h
"Thursday, 8 June 2017, 06:00 — 12:00",32 / 28 °C,Partly sunny.,Humidity: 83%,Barometer: 1009 mbar,SW,Wind: 13 km/h
"Thursday, 8 June 2017, 12:00 — 18:00",31 / 27 °C,Scattered clouds.,Humidity: 89%,Barometer: 1007 mbar,SW,Wind: 13 km/h
"Thursday, 8 June 2017, 18:00 — 00:00",27 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 5 km/h
"Friday, 9 June 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 2 km/h
"Friday, 9 June 2017, 06:00 — 12:00",33 / 26 °C,Scattered clouds.,Humidity: 80%,Barometer: 1008 mbar,SW,Wind: 8 km/h
"Friday, 9 June 2017, 12:00 — 18:00",34 / 32 °C,Scattered clouds.,Humidity: 55%,Barometer: 1005 mbar,W,Wind: 11 km/h
"Friday, 9 June 2017, 18:00 — 00:00",32 / 28 °C,Passing clouds.,Humidity: 83%,Barometer: 1007 mbar,N,Wind: 8 km/h
"Saturday, 10 June 2017, 00:00 — 06:00",29 / 27 °C,Passing clouds.,Humidity: 91%,Barometer: 1008 mbar,W,Wind: 9 km/h
"Saturday, 10 June 2017, 06:00 — 12:00",31 / 28 °C,Scattered clouds.,Humidity: 84%,Barometer: 1009 mbar,WSW,Wind: 13 km/h
"Saturday, 10 June 2017, 12:00 — 18:00",31 / 25 °C,Light rain. Broken clouds.,Humidity: 89%,Barometer: 1007 mbar,N,Wind: 15 km/h
"Saturday, 10 June 2017, 18:00 — 00:00",26 / 24 °C,Light rain. Passing clouds.,Humidity: 92%,Barometer: 1010 mbar,N,Wind: 5 km/h
"Sunday, 11 June 2017, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 89%,Barometer: 1009 mbar,N,Wind: 3 km/h
"Sunday, 11 June 2017, 06:00 — 12:00",31 / 25 °C,Partly sunny.,Humidity: 89%,Barometer: 1010 mbar,N,Wind: 7 km/h
"Sunday, 11 June 2017, 12:00 — 18:00",33 / 27 °C,Scattered clouds.,Humidity: 71%,Barometer: 1007 mbar,W,Wind: 16 km/h
"Sunday, 11 June 2017, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 87%,Barometer: 1009 mbar,N,Wind: 6 km/h
"Monday, 12 June 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 93%,Barometer: 1008 mbar,WSW,Wind: 8 km/h
"Monday, 12 June 2017, 06:00 — 12:00",34 / 27 °C,Scattered clouds.,Humidity: 71%,Barometer: 1009 mbar,WNW,Wind: 12 km/h
"Monday, 12 June 2017, 12:00 — 18:00",35 / 31 °C,Passing clouds.,Humidity: 53%,Barometer: 1006 mbar,WNW,Wind: 16 km/h
"Monday, 12 June 2017, 18:00 — 00:00",31 / 28 °C,Passing clouds.,Humidity: 74%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Tuesday, 13 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 94%,Barometer: 1008 mbar,WSW,Wind: 8 km/h
"Tuesday, 13 June 2017, 06:00 — 12:00",33 / 27 °C,Partly sunny.,Humidity: 76%,Barometer: 1009 mbar,WSW,Wind: 12 km/h
"Tuesday, 13 June 2017, 12:00 — 18:00",33 / 31 °C,Broken clouds.,Humidity: 63%,Barometer: 1007 mbar,WNW,Wind: 11 km/h
"Tuesday, 13 June 2017, 18:00 — 00:00",31 / 26 °C,Passing clouds.,Humidity: 89%,Barometer: 1008 mbar,SSW,Wind: 9 km/h
"Wednesday, 14 June 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 94%,Barometer: 1009 mbar,N,Wind: 9 km/h
"Wednesday, 14 June 2017, 06:00 — 12:00",31 / 26 °C,Light rain. Broken clouds.,Humidity: 90%,Barometer: 1010 mbar,SE,Wind: 10 km/h
"Wednesday, 14 June 2017, 12:00 — 18:00",32 / 27 °C,Scattered clouds.,Humidity: 73%,Barometer: 1009 mbar,SW,Wind: 12 km/h
"Wednesday, 14 June 2017, 18:00 — 00:00",28 / 27 °C,Passing clouds.,Humidity: 91%,Barometer: 1010 mbar,N,Wind: 8 km/h
"Thursday, 15 June 2017, 00:00 — 06:00",27 / 25 °C,Passing clouds.,Humidity: 91%,Barometer: 1010 mbar,WSW,Wind: 7 km/h
"Thursday, 15 June 2017, 06:00 — 12:00",32 / 26 °C,Partly sunny.,Humidity: 76%,Barometer: 1011 mbar,N,Wind: 7 km/h
"Thursday, 15 June 2017, 12:00 — 18:00",34 / 32 °C,Partly sunny.,Humidity: 55%,Barometer: 1008 mbar,WNW,Wind: 11 km/h
"Thursday, 15 June 2017, 18:00 — 00:00",33 / 28 °C,Passing clouds.,Humidity: 80%,Barometer: 1009 mbar,WSW,Wind: 7 km/h
"Friday, 16 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 92%,Barometer: 1009 mbar,WSW,Wind: 8 km/h
"Friday, 16 June 2017, 06:00 — 12:00",35 / 27 °C,Passing clouds.,Humidity: 73%,Barometer: 1010 mbar,WSW,Wind: 6 km/h
"Friday, 16 June 2017, 12:00 — 18:00",36 / 33 °C,Passing clouds.,Humidity: 46%,Barometer: 1006 mbar,WNW,Wind: 9 km/h
"Friday, 16 June 2017, 18:00 — 00:00",33 / 29 °C,Passing clouds.,Humidity: 76%,Barometer: 1007 mbar,WNW,Wind: 9 km/h
"Saturday, 17 June 2017, 00:00 — 06:00",29 / 27 °C,Passing clouds.,Humidity: 91%,Barometer: 1007 mbar,SW,Wind: 11 km/h
"Saturday, 17 June 2017, 06:00 — 12:00",33 / 28 °C,Scattered clouds.,Humidity: 83%,Barometer: 1008 mbar,WSW,Wind: 10 km/h
"Saturday, 17 June 2017, 12:00 — 18:00",34 / 29 °C,Scattered clouds.,Humidity: 64%,Barometer: 1005 mbar,WSW,Wind: 10 km/h
"Saturday, 17 June 2017, 18:00 — 00:00",30 / 28 °C,Passing clouds.,Humidity: 84%,Barometer: 1006 mbar,SSW,Wind: 12 km/h
"Sunday, 18 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 92%,Barometer: 1006 mbar,SSW,Wind: 11 km/h
"Sunday, 18 June 2017, 06:00 — 12:00",32 / 27 °C,Partly sunny.,Humidity: 79%,Barometer: 1007 mbar,WSW,Wind: 14 km/h
"Sunday, 18 June 2017, 12:00 — 18:00",33 / 27 °C,Scattered clouds.,Humidity: 73%,Barometer: 1005 mbar,W,Wind: 14 km/h
"Sunday, 18 June 2017, 18:00 — 00:00",28 / 28 °C,Passing clouds.,Humidity: 90%,Barometer: 1007 mbar,N,Wind: 6 km/h
"Monday, 19 June 2017, 00:00 — 06:00",28 / 26 °C,Passing clouds.,Humidity: 92%,Barometer: 1007 mbar,WSW,Wind: 8 km/h
"Monday, 19 June 2017, 06:00 — 12:00",33 / 26 °C,Scattered clouds.,Humidity: 79%,Barometer: 1008 mbar,W,Wind: 10 km/h
"Monday, 19 June 2017, 12:00 — 18:00",34 / 31 °C,Passing clouds.,Humidity: 53%,Barometer: 1005 mbar,W,Wind: 13 km/h
"Monday, 19 June 2017, 18:00 — 00:00",31 / 28 °C,Passing clouds.,Humidity: 73%,Barometer: 1008 mbar,SW,Wind: 14 km/h
"Tuesday, 20 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 91%,Barometer: 1007 mbar,SW,Wind: 12 km/h
"Tuesday, 20 June 2017, 06:00 — 12:00",33 / 28 °C,Scattered clouds.,Humidity: 78%,Barometer: 1008 mbar,WSW,Wind: 16 km/h
"Tuesday, 20 June 2017, 12:00 — 18:00",34 / 31 °C,Partly sunny.,Humidity: 58%,Barometer: 1006 mbar,W,Wind: 18 km/h
"Tuesday, 20 June 2017, 18:00 — 00:00",31 / 28 °C,Passing clouds.,Humidity: 79%,Barometer: 1007 mbar,WSW,Wind: 11 km/h
"Wednesday, 21 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 93%,Barometer: 1006 mbar,WSW,Wind: 6 km/h
"Wednesday, 21 June 2017, 06:00 — 12:00",34 / 27 °C,Scattered clouds.,Humidity: 77%,Barometer: 1008 mbar,W,Wind: 11 km/h
"Wednesday, 21 June 2017, 12:00 — 18:00",34 / 25 °C,Scattered clouds.,Humidity: 76%,Barometer: 1006 mbar,WSW,Wind: 15 km/h
"Wednesday, 21 June 2017, 18:00 — 00:00",26 / 25 °C,Light rain. Partly cloudy.,Humidity: 93%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Thursday, 22 June 2017, 00:00 — 06:00",25 / 25 °C,Passing clouds.,Humidity: 91%,Barometer: 1007 mbar,N,Wind: 3 km/h
"Thursday, 22 June 2017, 06:00 — 12:00",31 / 25 °C,Broken clouds.,Humidity: 86%,Barometer: 1008 mbar,N,Wind: 6 km/h
"Thursday, 22 June 2017, 12:00 — 18:00",32 / 27 °C,Scattered clouds.,Humidity: 83%,Barometer: 1006 mbar,WSW,Wind: 18 km/h
"Thursday, 22 June 2017, 18:00 — 00:00",27 / 25 °C,Passing clouds.,Humidity: 93%,Barometer: 1008 mbar,N,Wind: 9 km/h
"Friday, 23 June 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 3 km/h
"Friday, 23 June 2017, 06:00 — 12:00",31 / 26 °C,Scattered clouds.,Humidity: 82%,Barometer: 1008 mbar,NW,Wind: 7 km/h
"Friday, 23 June 2017, 12:00 — 18:00",31 / 26 °C,Scattered clouds.,Humidity: 83%,Barometer: 1005 mbar,SW,Wind: 15 km/h
"Friday, 23 June 2017, 18:00 — 00:00",26 / 25 °C,Partly cloudy.,Humidity: 93%,Barometer: 1007 mbar,NW,Wind: 7 km/h
"Saturday, 24 June 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1006 mbar,N,Wind: 3 km/h
"Saturday, 24 June 2017, 06:00 — 12:00",32 / 26 °C,Scattered clouds.,Humidity: 79%,Barometer: 1006 mbar,WSW,Wind: 9 km/h
"Saturday, 24 June 2017, 12:00 — 18:00",33 / 29 °C,Scattered clouds.,Humidity: 62%,Barometer: 1004 mbar,W,Wind: 13 km/h
"Saturday, 24 June 2017, 18:00 — 00:00",29 / 25 °C,Light rain. Mostly cloudy.,Humidity: 86%,Barometer: 1007 mbar,SSW,Wind: 10 km/h
"Sunday, 25 June 2017, 00:00 — 06:00",25 / 25 °C,Partly cloudy.,Humidity: 93%,Barometer: 1006 mbar,N,Wind: 4 km/h
"Sunday, 25 June 2017, 06:00 — 12:00",29 / 25 °C,Partly sunny.,Humidity: 89%,Barometer: 1008 mbar,W,Wind: 16 km/h
"Sunday, 25 June 2017, 12:00 — 18:00",31 / 29 °C,Scattered clouds.,Humidity: 68%,Barometer: 1006 mbar,W,Wind: 19 km/h
"Sunday, 25 June 2017, 18:00 — 00:00",30 / 26 °C,Passing clouds.,Humidity: 87%,Barometer: 1008 mbar,W,Wind: 11 km/h
"Monday, 26 June 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,W,Wind: 7 km/h
"Monday, 26 June 2017, 06:00 — 12:00",31 / 26 °C,Scattered clouds.,Humidity: 84%,Barometer: 1008 mbar,W,Wind: 10 km/h
"Monday, 26 June 2017, 12:00 — 18:00",33 / 26 °C,Scattered clouds.,Humidity: 75%,Barometer: 929 mbar,N,Wind: 8 km/h
"Monday, 26 June 2017, 18:00 — 00:00",29 / 25 °C,Passing clouds.,Humidity: 94%,Barometer: 1008 mbar,W,Wind: 9 km/h
"Tuesday, 27 June 2017, 00:00 — 06:00",26 / 25 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,N,Wind: 2 km/h
"Tuesday, 27 June 2017, 06:00 — 12:00",33 / 25 °C,Scattered clouds.,Humidity: 74%,Barometer: 1009 mbar,N,Wind: 5 km/h
"Tuesday, 27 June 2017, 12:00 — 18:00",33 / 25 °C,Scattered clouds.,Humidity: 79%,Barometer: 929 mbar,WSW,Wind: 10 km/h
"Tuesday, 27 June 2017, 18:00 — 00:00",27 / 26 °C,Passing clouds.,Humidity: 94%,Barometer: 1008 mbar,S,Wind: 7 km/h
"Wednesday, 28 June 2017, 00:00 — 06:00",27 / 27 °C,Passing clouds.,Humidity: 94%,Barometer: 1008 mbar,S,Wind: 6 km/h
"Wednesday, 28 June 2017, 06:00 — 12:00",33 / 27 °C,Partly sunny.,Humidity: 82%,Barometer: 1009 mbar,SSW,Wind: 11 km/h
"Wednesday, 28 June 2017, 12:00 — 18:00",32 / 29 °C,Partly sunny.,Humidity: 70%,Barometer: 930 mbar,S,Wind: 15 km/h
"Wednesday, 28 June 2017, 18:00 — 00:00",29 / 27 °C,Passing clouds.,Humidity: 91%,Barometer: 1009 mbar,S,Wind: 10 km/h
"Thursday, 29 June 2017, 00:00 — 06:00",27 / 26 °C,Passing clouds.,Humidity: 90%,Barometer: 1008 mbar,N,Wind: 5 km/h
"Thursday, 29 June 2017, 06:00 — 12:00",33 / 27 °C,Scattered clouds.,Humidity: 78%,Barometer: 1009 mbar,N,Wind: 6 km/h
"Thursday, 29 June 2017, 12:00 — 18:00",34 / 30 °C,Scattered clouds.,Humidity: 63%,Barometer: 1006 mbar,S,Wind: 13 km/h
"Thursday, 29 June 2017, 18:00 — 00:00",30 / 25 °C,Passing clouds.,Humidity: 88%,Barometer: 1008 mbar,S,Wind: 9 km/h
"Friday, 30 June 2017, 00:00 — 06:00",28 / 27 °C,Passing clouds.,Humidity: 92%,Barometer: 1008 mbar,SSW,Wind: 8 km/h
"Friday, 30 June 2017, 06:00 — 12:00",33 / 27 °C,Scattered clouds.,Humidity: 76%,Barometer: 1009 mbar,SSW,Wind: 11 km/h
"Friday, 30 June 2017, 12:00 — 18:00",34 / 25 °C,Scattered clouds.,Humidity: 70%,Barometer: 1006 mbar,WSW,Wind: 16 km/h
"Friday, 30 June 2017, 18:00 — 00:00",28 / 26 °C,Passing clouds.,Humidity: 87%,Barometer: 1008 mbar,N,Wind: 3 km/h
